Employee_ID,Country,Age,Education_Level,Marital_Status,Number_of_Children,Industry_Sector,Years_of_Experience,Remote_Work_Type,Monthly_Salary_USD,Weekly_Work_Hours,Promotion_Last_2_Years,Work_Life_Balance_Score
10001,India,25,Master,Divorced,1,Hospitality,2,No,1002,34,No,9.36
10002,South Africa,46,Master,Divorced,4,Government,23,Yes,5535,51,No,2.74
10003,UK,24,Bachelor,Married,4,IT,3,No,1960,55,No,8.16
10004,Japan,40,Bachelor,Divorced,2,Finance,15,Yes,3770,56,Yes,3.04
10005,Japan,44,Master,Married,1,Hospitality,1,No,806,27,No,4.27
10006,Canada,49,Bachelor,Single,0,Manufacturing,26,No,5771,29,No,4.15
10007,Australia,35,PhD,Divorced,4,Government,9,Yes,3000,55,No,9.53
10008,Brazil,44,Diploma,Divorced,3,Education,15,Yes,3520,48,Yes,6.36
10009,Germany,29,Master,Divorced,4,Finance,6,No,2314,30,Yes,8.89
10010,Japan,46,Bachelor,Single,0,Healthcare,18,Hybrid,4221,31,No,3.86
10011,Canada,47,Diploma,Divorced,3,Manufacturing,25,No,5966,48,Yes,7.83
10012,Brazil,29,High School,Divorced,2,Government,11,Hybrid,2914,38,Yes,7.52
10013,India,59,PhD,Single,0,Hospitality,7,Hybrid,2230,52,Yes,4.23
10014,Canada,25,Diploma,Single,0,Finance,7,Yes,2358,32,Yes,6.68
10015,UK,28,Diploma,Divorced,0,Retail,10,Yes,2587,28,No,2.37
10016,USA,21,High School,Divorced,1,Finance,3,Yes,1472,35,No,8.95
10017,Japan,32,Bachelor,Divorced,4,IT,11,Yes,2799,47,Yes,7.73
10018,France,27,Master,Divorced,4,Hospitality,4,No,2171,59,No,3.86
10019,France,40,High School,Single,0,Hospitality,22,Hybrid,5563,56,No,8.16
10020,Japan,26,Bachelor,Divorced,3,Government,5,Hybrid,1630,52,Yes,6.12
10021,Japan,45,Diploma,Married,4,IT,17,Hybrid,4561,49,No,4.37
10022,USA,21,Master,Single,0,Manufacturing,0,Yes,808,36,No,5.39
10023,USA,55,Bachelor,Married,4,Government,13,Yes,3869,35,Yes,9.1
10024,Australia,30,Master,Divorced,2,Manufacturing,7,Hybrid,2243,34,No,2.89
10025,UK,35,Master,Married,2,Government,8,Yes,2591,45,Yes,9.99
10026,USA,59,Master,Divorced,3,Government,18,Hybrid,4513,48,Yes,7.61
10027,Japan,25,Bachelor,Single,0,Government,4,No,2105,27,No,3.15
10028,India,30,Bachelor,Married,0,Manufacturing,2,No,1285,58,No,1.38
10029,Japan,44,PhD,Divorced,1,Retail,7,No,2091,41,Yes,5.04
10030,Australia,56,Bachelor,Married,2,Government,13,Hybrid,4055,47,No,9.89
10031,Japan,24,Bachelor,Single,0,Finance,3,Hybrid,1376,33,No,9.92
10032,Australia,29,High School,Married,0,Government,11,No,2860,33,Yes,4.76
10033,France,40,Master,Single,0,Government,17,Yes,4359,59,Yes,5.78
10034,India,22,Master,Divorced,2,Hospitality,0,Yes,813,45,Yes,5.97
10035,Germany,21,PhD,Single,0,IT,0,No,521,41,Yes,1.19
10036,France,37,PhD,Divorced,1,Manufacturing,1,No,952,38,No,5.17
10037,South Africa,52,PhD,Married,3,Hospitality,6,Yes,2447,36,No,8.51
10038,UK,50,High School,Single,0,Education,32,No,7756,41,Yes,7.12
10039,Germany,49,Bachelor,Divorced,3,Retail,10,Yes,3060,41,No,8.54
10040,France,28,Master,Divorced,1,Healthcare,5,Yes,1974,38,Yes,9.73
10041,Germany,44,Bachelor,Married,1,IT,23,Hybrid,5158,34,Yes,3.58
10042,Canada,31,Diploma,Single,0,Finance,13,Yes,3610,47,Yes,2.91
10043,Brazil,56,High School,Single,0,Education,25,Yes,6181,31,Yes,5.55
10044,USA,21,Diploma,Divorced,4,Retail,3,No,1575,34,Yes,9.74
10045,Japan,28,Bachelor,Single,0,Manufacturing,7,No,2599,37,No,8.97
10046,Brazil,44,Diploma,Single,0,Healthcare,26,No,6675,38,Yes,4.19
